Unique_Funder,Matched_Funder,Matched_Code
National Drug Abuse Treatment Clinical Trials Network,"North Central Cancer Treatment Group (United States, Rochester) - NCCTG",41___NORTH_CENTRAL_CANCER_TREATMENT_GROUP_(ROCHESTER)
National Institute for Health and Care Research,"National Institute for Health and Care Excellence (United Kingdom, Manchester) - NICE",41___NATIONAL_INSTITUTE_FOR_HEALTH_AND_CARE_EXCELLENCE_(MANCHESTER)
National Key Research and Development Program of China,"National Institutes of Pharmaceutical Research and Development (China, Beijing)",41___CHINA_PHARMACEUTICAL_RESEARCH_AND_DEVELOPMENT_CENTER_(CHINA)_(BEIJING)
National Key Research and Development Program of China Stem Cell and Translational Research,"Stem-Cell and Brain Research Institute (France, Bron) - SBRI",41___STEM-CELL_AND_BRAIN_RESEARCH_INSTITUTE_(BRON)
National Natural Science Foundation of China-Yunnan Joint Fund,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING)
National Social Science Fund of China,"Bulgarian Science Fund (Bulgaria, Anton) - BSF",41___BULGARIAN_SCIENCE_FUND_(ANTON)
Natural Science Foundation of Beijing Municipality,"Beijing Museum of Natural History (China, Beijing) - BMNH",41___BEIJING_MUSEUM_OF_NATURAL_HISTORY_(BEIJING)
Natural Science Foundation of Guangdong Province,"Guangdong Province Women and Children Hospital (China, Guangzhou)",41___GUANGDONG_PROVINCE_WOMEN_AND_CHILDREN_HOSPITAL_(GUANGZHOU)
Natural Science Foundation of Hebei Province,"Hospital of Hebei Province (China, Shijiazhuang)",41___HOSPITAL_OF_HEBEI_PROVINCE_(SHIJIAZHUANG)
Natural Science Foundation of Jiangsu Province,"Government of Jiangsu Province (China, Nanjing)",41___GOVERNMENT_OF_JIANGSU_PROVINCE_(NANJING)
Natural Science Foundation of Jiangxi Province,"Education Department of Jiangxi Province (China, Nanchang)",41___EDUCATION_DEPARTMENT_OF_JIANGXI_PROVINCE_(NANCHANG)
Natural Science Foundation of Shandong Province,"Government of Shandong Province (China, Jinan)",41___GOVERNMENT_OF_SHANDONG_PROVINCE_(JINAN)
Natural Science Foundation of Zhejiang Province,"Zhejiang Provincial Natural Science Foundation (China, Hangzhou)",41___ZHEJIANG_PROVINCIAL_NATURAL_SCIENCE_FOUNDATION_(HANGZHOU)
Natural Science Foundation of Hunan Province,"Education Department of Hunan Province (China, Changsha)",41___EDUCATION_DEPARTMENT_OF_HUNAN_PROVINCE_(CHANGSHA)
Natural Sciences and Engineering Research Council of Canada,"Natural Sciences and Engineering Research Council (Canada, Ottawa) - NSERC",41___NATURAL_SCIENCES_AND_ENGINEERING_RESEARCH_COUNCIL_(OTTAWA)
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,"Dutch Research Council (Netherlands, The Hague) - NWO",41___DUTCH_RESEARCH_COUNCIL_(THE_HAGUE)
Nemzeti Kutatási Fejlesztési és Innovációs Hivatal,"Nemzeti Szakképzési és Felnőttképzési Hivatal (Hungary, Budapest) - NSZFH",41___NEMZETI_SZAKKÉPZÉSI_ÉS_FELNŐTTKÉPZÉSI_HIVATAL_(BUDAPEST)
"Nemzeti Kutatási, Fejlesztési és Innovaciós Alap","Nemzeti Szakképzési és Felnőttképzési Hivatal (Hungary, Budapest) - NSZFH",41___NEMZETI_SZAKKÉPZÉSI_ÉS_FELNŐTTKÉPZÉSI_HIVATAL_(BUDAPEST)
Norges Forskningsråd,"The Research Council of Norway (Norway, Oslo)",41___THE_RESEARCH_COUNCIL_OF_NORWAY_(OSLO)
Norges Idrettshøgskole,"Norwegian School of Sport Sciences (Norway, Oslo) - NSSS",41___NORWEGIAN_SCHOOL_OF_SPORT_SCIENCES_(OSLO)
Office of Advanced Cyberinfrastructure,"Division of Advanced Cyberinfrastructure (United States, Arlington) - NSF ACI",41___DIVISION_OF_ADVANCED_CYBERINFRASTRUCTURE_(ARLINGTON)
"Office of Extramural Research, National Institutes of Health","Office of Extramural Research (United States, Bethesda) - OER",41___OFFICE_OF_EXTRAMURAL_RESEARCH_(BETHESDA)
Ono Pharma Foundation,"Ono Pharmaceutical (Japan, Osaka)",41___ONO_PHARMACEUTICAL_(JAPAN)_(OSAKA)
Patrick and Catherine Weldon Donaghue Medical Research Foundation,"Donaghue Foundation (United States, West Hartford)",41___DONAGHUE_FOUNDATION_(WEST_HARTFORD)
Postdoctoral Research Foundation of China,"China Postdoctoral Science Foundation (China, Beijing)",41___CHINA_POSTDOCTORAL_SCIENCE_FOUNDATION_(BEIJING)
Recruitment Program of Global Experts,"EEI Communications (United States, Alexandria)",41___EEI_COMMUNICATIONS_(UNITED_STATES)_(ALEXANDRIA)
Retirement Research Foundation,"RRF Foundation for Aging (United States, Chicago) - RRF",41___RETIREMENT_RESEARCH_FOUNDATION_(CHICAGO)
Sanming Project of Medicine in Shenzhen,"Sanming University (China, Sanming)",41___SANMING_UNIVERSITY_(SANMING)
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,"Swiss National Science Foundation (Switzerland, Bern) - SNSF",41___SWISS_NATIONAL_SCIENCE_FOUNDATION_(BERN)
Scientific Research Fund for Young and Middle-Aged Scholars of Gansu University of Traditional Chinese Medicine,"Gansu University of Traditional Chinese Medicine (China, Lanzhou)",41___GANSU_UNIVERSITY_OF_TRADITIONAL_CHINESE_MEDICINE_(LANZHOU)
Searle Scholars Program,"Westpac Scholars Trust (Australia, Sydney)",41___WESTPAC_SCHOLARS_TRUST_(SYDNEY)
Seventh Framework Programme,"Framework (United Kingdom, Nottingham)",41___FRAMEWORK_(NOTTINGHAM)
Sichuan Province Science and Technology Support Program,"Science and Technology Department of Sichuan Province (China, Chengdu)",41___SCIENCE_AND_TECHNOLOGY_DEPARTMENT_OF_SICHUAN_PROVINCE_(CHENGDU)
Simons Foundation Autism Research Initiative,"Simons Foundation (United States, New York)",41___SIMONS_FOUNDATION_(NEW_YORK)
Sleep Research Society Foundation,"Sleep Research Society (United States, Darien) - SRS",41___SLEEP_RESEARCH_SOCIETY_(DARIEN)
Social Sciences and Humanities Research Council of Canada,"Social Sciences and Humanities Research Council (Canada, Ottawa) - SSHRC",41___SOCIAL_SCIENCES_AND_HUMANITIES_RESEARCH_COUNCIL_(OTTAWA)
State Key Laboratory of Chemo/Biosensing and Chemometrics,"State Key Laboratory of Chemobiosensing and Chemometrics (China, Changsha)",41___STATE_KEY_LABORATORY_OF_CHEMOBIOSENSING_AND_CHEMOMETRICS_(CHANGSHA)
Svenska Forskningsrådet Formas,"The Research Council of Norway (Norway, Oslo)",41___THE_RESEARCH_COUNCIL_OF_NORWAY_(OSLO)
Swedish Cancer Foundation,"Swedish Cancer Society (Sweden, Stockholm)",41___SWEDISH_CANCER_SOCIETY_(STOCKHOLM)
Tempus Közalapítvány,"Tempus Public Foundation (Hungary, Budapest) - TPF",41___TEMPUS_PUBLIC_FOUNDATION_(BUDAPEST)
Texas A and M University,"Texas A&M University System (United States, College Station)",41___TEXAS_A&M_UNIVERSITY_SYSTEM_(COLLEGE_STATION)
The Wellcome Trust DBT India Alliance,"Wellcome Trust/DBT India Alliance (India, New Delhi)",41___WELLCOME_TRUST/DBT_INDIA_ALLIANCE_(NEW_DELHI)
U.S. Department of Defense,"United States Department of Defense (United States, Washington) - US DOD",41___UNITED_STATES_DEPARTMENT_OF_DEFENSE_(WASHINGTON_D.C.)
