Unique_Funder,Country,City,Alternative_Name,Ror_ID
AFM-Téléthon,France,Rungis,"[""French Muscular Dystrophy Association"", ""Association Francaise contre les Myopathies""]",0162y2387
Academy of Finland,Finland,Helsinki,"[""Finlands Akademi"", ""Suomen Akatemia"", ""Research Council of Finland""]",05k73zm37
Agencia Nacional de Promoción Científica y Tecnológica,Argentina,Buenos Aires,"[""Agencia Nacional de Promoci\u00f3n de la Investigaci\u00f3n, el Desarrollo Tecnol\u00f3gico y la Innovaci\u00f3n""]",03stxzb56
"Albert Einstein College of Medicine, Yeshiva University",United States,Bronx,"[""Einstein"", ""Albert Einstein College of Medicine""]",05cf8a891
American Chemical Society Petroleum Research Fund,United States,Washington,"[""American Chemical Society""]",059dqb057
Basic and Applied Basic Research Foundation of Guangdong Province,China,Beijing,"[""\u5317\u4eac\u7efc\u5408\u7814\u7a76\u4e2d\u5fc3"", ""Beijing Advanced Sciences and Innovation Center""]",05qm21180
Bill and Melinda Gates Foundation,United States,Seattle,"[""Bill & Melinda Gates Foundation"", ""Gates Foundation""]",0456r8d26
Blue Cross Blue Shield of Massachusetts Foundation,United States,Boston,"[""Blue Cross Blue Shield of Massachusetts""]",00bgchx11
Brain and Behavior Research Foundation,United States,New York,"[""National Alliance for Research on Schizophrenia and Depression"", ""Brain & Behavior Research Foundation""]",03a63f080
Bundesministerium für Bildung und Forschung,Germany,Bonn,"[""Federal Ministry of Education and Research"", ""Federal Ministry of Research, Technology and Space"", ""Bundesministerium f\u00fcr Forschung, Technologie und Raumfahrt""]",04pz7b180
"Bundesministerium für Bildung, Wissenschaft und Forschung",Austria,Vienna,"[""Unterrichtsministerium"", ""Federal Ministry of Education, Science and Research""]",03gng8t46
"Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie",Austria,Vienna,"[""Unterrichtsministerium"", ""Bundesministerium f\u00fcr Bildung, Wissenschaft und Forschung"", ""Federal Ministry of Education, Science and Research""]",03gng8t46
Bureau of Justice Assistance,United States,Washington,"[""Bureau of Justice Statistics""]",0006s4z66
California Department of Fish and Game,United States,Sacramento,"[""California Department of Fish and Wildlife""]",02v6w2r95
Cancéropôle Ile de France,France,Paris,"[""Canc\u00e9rop\u00f4le \u00cele-de-France""]",00d5rxh07
Carlsbergfondet,Denmark,Copenhagen,"[""Carlsberg Foundation""]",01kpjmx04
"Center for AIDS Research, Johns Hopkins University",United States,Baltimore,"[""Center for AIDS Research"", ""JHU Center for AIDS Research"", ""Johns Hopkins University Center for AIDS Research""]",05n52x113
Center for Substance Abuse Prevention,United States,Long Beach,"[""Safe Refuge"", ""Substance Abuse Foundation""]",044t9d979
Center for Substance Abuse Treatment,United States,Long Beach,"[""Safe Refuge"", ""Substance Abuse Foundation""]",044t9d979
Central University Basic Research Fund of China,China,Wuhan,"[""Huazhong Normal University"", ""\u534e\u4e2d\u5e08\u8303\u5927\u5b66"", ""Central China Normal University""]",03x1jna21
"China Medical University, Taiwan",Taiwan,Kaohsiung,"[""Zh\u014dnggu\u00f3 G\u0101ngti\u011b G\u01d4f\u00e8n Y\u01d2uxi\u00e0n G\u014dngs\u012b"", ""\u4e2d\u570b\u92fc\u9435\u80a1\u4efd\u6709\u9650\u516c\u53f8"", ""China Steel (Taiwan)""]",02djppw35
College and Graduate School of Arts and Sciences,United States,Redding,"[""Shasta Bible College and Graduate School""]",04725j767
Conselho Nacional de Desenvolvimento Científico e Tecnológico,Brazil,Brasília,"[""Conselho Nacional de Pesquisa"", ""National Council for Scientific and Technological Development""]",03swz6y49
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Brazil,Brasília,"[""Coordena\u00e7\u00e3o de Aperfeicoamento de Pessoal de N\u00edvel Superior""]",00x0ma614
Corporation for National and Community Service,United States,Washington,"[""AmeriCorps""]",00p8rjs69
Council on grants of the President of the Russian Federation,Russia,Moscow,"[""\u0421\u043e\u0432\u0435\u0442 \u043f\u043e \u0433\u0440\u0430\u043d\u0442\u0430\u043c \u041f\u0440\u0435\u0437\u0438\u0434\u0435\u043d\u0442\u0430 \u0420\u043e\u0441\u0441\u0438\u0439\u0441\u043a\u043e\u0439 \u0424\u0435\u0434\u0435\u0440\u0430\u0446\u0438\u0438"", ""Council for Grants of the President of the Russian Federation""]",05gxnjj05
"Department of Atomic Energy, Government of India",India,Mumbai,"[""\u092a\u0930\u092e\u093e\u0923\u0941 \u090a\u0930\u094d\u091c\u093e \u0935\u093f\u092d\u093e\u0917"", ""\u0b85\u0ba3\u0bc1 \u0b9a\u0b95\u0bcd\u0ba4\u0bbf\u0ba4\u0bcd\u0ba4\u0bc1\u0bb1\u0bc8"", ""\u0d06\u0d23\u0d35\u0d4b\u0d7c\u0d1c\u0d4d\u0d1c \u0d35\u0d15\u0d41\u0d2a\u0d4d\u0d2a\u0d4d"", ""Department of Atomic Energy""]",02m388s04
"Department of Biotechnology, Ministry of Science and Technology, India",India,Bengaluru,"[""Department of Information Technology, Biotechnology and Science and Technology""]",0380vn954
"Department of Science and Technology, Ministry of Science and Technology, India",Vietnam,Hanoi,"[""Ministry of Science and Technology""]",02b207r52
"Department of Science and Technology, Republic of South Africa",South Africa,Pretoria,"[""Academy of Science of South Africa""]",02qsf1r97
Directorate for Computer and Information Science and Engineering,United States,Arlington,"[""Directorate for Computer & Information Science & Engineering""]",025kzpk63
Directorate for Mathematical and Physical Sciences,United States,Arlington,"[""Directorate for Mathematical & Physical Sciences""]",029b7h395
